time,gFx,gFy,gFz,TgF,is_fall
46.7,-1.1134,-0.155,-0.261,1.15,0
46.8,-0.5689,-0.2991,-0.2141,0.68,0
46.9,-0.586,-0.2503,-0.282,0.7,0
47,-1.0604,-0.0225,-0.5086,1.18,0
47.1,-1.2736,-0.1536,-0.7554,1.49,0
47.2,-0.9637,-0.0816,0.0349,0.97,0
47.3,-0.9286,-0.249,-0.5157,1.09,0
47.4,-0.5948,0.0476,-0.0178,0.6,0
47.5,-0.7452,-0.0557,-0.2539,0.79,0
47.6,-1.1659,0.0786,-0.389,1.23,0
47.7,-1.3676,-0.1675,-0.4241,1.44,0
47.8,-0.9747,-0.4068,0.0471,1.06,0
47.9,-0.8302,-0.0864,-0.3264,0.9,0
48,-0.669,-0.1531,-0.3531,0.77,0
48.1,-0.7987,-0.1235,-0.3628,0.89,0
48.2,-1.0878,-0.4942,-0.8272,1.45,0
48.3,-0.9772,-0.5545,-0.1741,1.14,0
48.4,-1.1974,-0.4759,-0.2442,1.31,0
48.5,-0.6871,0.0652,-0.3003,0.75,0
48.6,-0.7435,-0.0879,-0.0732,0.75,0
48.7,-1.0924,-0.0886,-0.629,1.26,0
48.8,-1.3368,-0.0833,-0.5025,1.43,0
48.9,-0.8575,-0.4695,-0.0073,0.98,0
49,-1.1608,-0.1692,-0.2471,1.2,0
49.1,-0.5828,-0.2654,-0.2056,0.67,0
49.2,-0.5606,-0.2549,-0.2703,0.67,0
49.3,-0.9881,-0.0584,-0.6385,1.18,0
49.4,-1.2736,-0.1643,-0.8062,1.52,0
49.5,-0.9891,-0.1985,0.031,1.01,0
49.6,-0.9952,-0.2444,-0.4278,1.11,0
49.7,-0.6326,-0.0083,-0.0886,0.64,0
49.8,-0.7396,-0.0442,-0.3145,0.8,0
49.9,-1.0887,0.0628,-0.3206,1.14,0
50,-1.4396,-0.0212,-0.1895,1.45,0
50.1,-1.1459,-0.4009,0.0293,1.21,0
50.2,-0.6404,-0.1641,-0.1575,0.68,0
50.3,-0.7305,-0.1499,-0.3623,0.83,0
50.4,-0.8492,-0.1599,-0.542,1.02,0
50.5,-1.1949,-0.0828,-1.2015,1.7,0
50.6,-0.9041,-0.566,-0.1157,1.07,0
50.7,-1.1508,-0.4322,-0.0903,1.23,0
50.8,-0.7198,0.0525,-0.3636,0.81,0
50.9,-0.7261,-0.1121,-0.0989,0.74,0
51,-0.982,-0.0332,-0.6014,1.15,0
51.1,-1.3812,0.032,-0.7266,1.56,0
51.2,-0.846,-0.1934,-0.0483,0.87,0
