time,x,y,z,TgF
42.5590,-0.4212,-0.2310,0.8404,0.97
42.6600,-0.3948,-0.2366,0.9259,1.03
42.7600,-0.4827,-0.1887,0.9207,1.06
42.8620,-0.5174,-0.2437,0.8558,1.03
42.9620,-0.5164,-0.2693,0.8243,1.01
43.0640,-0.5328,-0.2278,0.8055,0.99
43.1630,-0.4925,-0.2197,0.8958,1.05
43.2640,-0.4930,-0.2090,0.8309,0.99
43.3640,-0.4808,-0.2219,0.8509,1.00
43.4660,-0.4656,-0.2349,0.8468,0.99
43.5660,-0.5120,-0.2127,0.8685,1.03
43.6660,-0.4957,-0.2339,0.8751,1.03
43.7660,-0.4715,-0.2351,0.8590,1.01
43.8670,-0.4603,-0.2293,0.8761,1.02
43.9660,-0.4642,-0.2256,0.8795,1.02
44.0680,-0.4593,-0.2305,0.8956,1.03
44.1680,-0.4495,-0.2244,0.8687,1.00
44.2690,-0.4515,-0.2310,0.8741,1.01
44.3690,-0.4688,-0.2212,0.8993,1.04
44.4700,-0.4510,-0.2332,0.8524,0.99
44.5700,-0.4353,-0.2669,0.8919,1.03
44.6730,-0.4458,-0.2383,0.8961,1.03
44.7720,-0.4544,-0.2644,0.9015,1.04
44.8720,-0.4476,-0.2534,0.8387,0.98
44.9750,-0.4371,-0.2500,0.8946,1.03
45.0740,-0.4256,-0.2547,0.8446,0.98
45.1750,-0.4353,-0.2593,0.8714,1.01
45.2750,-0.4324,-0.2644,0.8788,1.01
45.3760,-0.4439,-0.2490,0.9046,1.04
45.4750,-0.4524,-0.2503,0.8824,1.02
45.5760,-0.4424,-0.2469,0.8849,1.02
45.6760,-0.4380,-0.2476,0.8748,1.01
45.7780,-0.4483,-0.2432,0.8734,1.01
45.8780,-0.4432,-0.2537,0.9015,1.04
45.9780,-0.4292,-0.2622,0.8910,1.02
46.0790,-0.4432,-0.2461,0.8739,1.01
46.1790,-0.4471,-0.2510,0.8722,1.01
46.2790,-0.4388,-0.2539,0.8770,1.01
46.3790,-0.4566,-0.2456,0.8785,1.02
46.4800,-0.4402,-0.2613,0.8910,1.03
46.5800,-0.4595,-0.2488,0.8936,1.04
46.6830,-0.4275,-0.2578,0.8795,1.01
46.7820,-0.4366,-0.2522,0.8751,1.01
46.8820,-0.4529,-0.2451,0.8861,1.02
46.9820,-0.4224,-0.2676,0.8739,1.01
47.0830,-0.4412,-0.2510,0.8702,1.01
47.1830,-0.4478,-0.2556,0.8746,1.02
47.2830,-0.4322,-0.2657,0.8568,1.00
47.3840,-0.4270,-0.2666,0.8614,1.00
47.4850,-0.4529,-0.2586,0.8770,1.02
47.5840,-0.4227,-0.2698,0.8538,0.99
47.6850,-0.4314,-0.2676,0.8841,1.02
47.7850,-0.4659,-0.2630,0.8602,1.01
47.8860,-0.4385,-0.2749,0.8795,1.02
47.9850,-0.4375,-0.2732,0.8836,1.02
48.0860,-0.4373,-0.2730,0.8829,1.02
48.1880,-0.4461,-0.2676,0.8744,1.02
48.2890,-0.4136,-0.2774,0.8641,1.00
48.3880,-0.4463,-0.2639,0.8685,1.01
48.4880,-0.4444,-0.2693,0.8726,1.02
48.5900,-0.4500,-0.2725,0.8895,1.03
48.6910,-0.4165,-0.2867,0.8700,1.01
48.7910,-0.4515,-0.2622,0.8834,1.03
48.8910,-0.4427,-0.2776,0.8829,1.03
48.9910,-0.4466,-0.2600,0.8910,1.03
49.0910,-0.4498,-0.2639,0.8692,1.01
49.1920,-0.4466,-0.2620,0.8839,1.02
49.2930,-0.4361,-0.2537,0.8775,1.01
49.3930,-0.4729,-0.2371,0.9151,1.06
49.4930,-0.4798,-0.2176,0.8177,0.97
49.5940,-0.3702,-0.2241,0.9010,1.00
49.6940,-0.4307,-0.2593,0.9400,1.07
49.7950,-0.5567,-0.1861,0.7901,0.98
49.8940,-0.4007,-0.1948,0.8929,1.00
49.9950,-0.2735,-0.2124,0.9584,1.02
50.0950,-0.3728,-0.1611,0.9818,1.06
50.1950,-0.3694,-0.1641,0.9325,1.02
50.2970,-0.2906,-0.1792,0.9295,0.99
50.3980,-0.3221,-0.1563,0.9916,1.05
50.4970,-0.3518,-0.1214,0.9784,1.05
50.5970,-0.3062,-0.1214,0.9750,1.03
50.6990,-0.2664,-0.0974,0.9791,1.02
50.7990,-0.2215,-0.0825,0.9850,1.01
50.8980,-0.2029,-0.0659,1.0370,1.06
50.9980,-0.1978,-0.0437,1.0170,1.04
51.1010,-0.2691,-0.0117,0.9857,1.02
51.2010,-0.2168,0.0342,0.8658,0.89
51.3010,-0.1917,0.0901,1.0152,1.04
51.4040,-0.1233,0.1121,0.9601,0.97
51.5030,-0.1279,0.1470,0.9669,0.99
51.6030,-0.1052,0.1509,0.9547,0.97
51.7040,-0.0913,0.1331,0.9803,0.99
51.8060,-0.1812,0.1511,0.9986,1.03
51.9060,-0.2168,0.1436,0.8949,0.93
