x,y,z
-0.464645,-0.844818,-0.050018
-0.477982,-0.891205,-0.029968
-0.485016,-0.879593,-0.020889
-0.487152,-0.873932,-0.022064
-0.510132,-0.901062,-0.020386
-0.486389,-0.897064,-0.017517
-0.474075,-0.876846,-0.022751
-0.469498,-0.862061,-0.029037
-0.481552,-0.876282,-0.028534
-0.486862,-0.867493,-0.035934
-0.484436,-0.877274,-0.020462
-0.477264,-0.877716,-0.020462
-0.471436,-0.879883,-0.019882
-0.471207,-0.880814,-0.018784
-0.468933,-0.86821,-0.017929
-0.469391,-0.858536,-0.019943
-0.457642,-0.841309,-0.021622
-0.412521,-0.78949,-0.000244
-0.29689,-0.701538,-0.127075
-0.298019,-0.550293,0.002502
-0.328186,-0.552505,-0.005463
-0.242264,-0.629684,-0.032974
-0.236008,-0.861832,-0.287888
0.880035,-0.642654,-0.53862
1.362396,-0.111603,-0.912354
0.453888,-0.341019,0.049026
0.658936,-0.254135,0.001068
1.020493,-0.377548,-0.131866
0.93541,-0.423996,0.10495
0.872025,-0.65094,0.06868
0.656235,-0.559204,0.269653
0.875397,-0.507248,0.207123
0.828537,-0.531754,0.097366
0.798126,-0.472397,0.198166
0.847672,-0.499969,0.2229
0.838699,-0.489014,0.217316
